schema_version,run_id,created_at_utc,prediction_date,as_of_date,data_snapshot_hash,config_hash,target_mode,band,imputed_features,macro_snapshot_hash,macro_history_mode,prediction,p_down,p_flat,p_up,model,record_id,kind,horizon_days,target_date,horizon,trading_days,current_close,signal,predicted_return,predicted_close,center_close,low_close,high_close,band_coverage,vol_model,model_mae,zero_baseline_mae,mae_diff_lo,mae_diff_hi,oof_slope,actual_open,actual_close,actual_return,actual_class,direction_correct,price_error,absolute_price_error,price_ape,return_error,interval_hit,center_price_error,log_loss,brier,status,is_prospective,actual_updated_at_utc,runtime,versions_hash
2,20260906T085231_8534ce84585b,2026-09-06T08:52:38.256148+00:00,2026-09-07,2026-09-04,c5f9ffef26b6460a1ef8,0464a8f5fe0430d37f44,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,상승,0.2008478714584282,0.3160566446249833,0.4830954839165885,No macro ensemble,20260906T085231_8534ce84585b:direction:No macro ensemble,direction,1,2026-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,True,2026-09-06T23:47:54.585573+00:00,,
2,20260906T085231_8534ce84585b,2026-09-06T08:52:38.256148+00:00,2026-09-07,2026-09-04,c5f9ffef26b6460a1ef8,0464a8f5fe0430d37f44,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,,,,,Ridge,20260906T085231_8534ce84585b:price:1,price,1,2026-09-07,1거래일,1.0,1647000.0,있음,0.0135688862389851,1669347.9556356084,1669347.9556356084,1571376.25399357,1767319.6572776472,0.8050314465408805,simple,0.0308032107854561,0.0336644703129622,-0.0038927548204578,-0.0019121102577757,1.0,,,,,,,,,,,,,,pending,True,2026-09-06T23:47:54.585573+00:00,,
2,20260906T085231_8534ce84585b,2026-09-06T08:52:38.256148+00:00,2026-09-07,2026-09-04,c5f9ffef26b6460a1ef8,0464a8f5fe0430d37f44,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,,,,,Ridge,20260906T085231_8534ce84585b:price:5,price,5,2026-09-11,1주일,5.0,1647000.0,없음,,,1647000.0,1424174.9241116878,1869825.0758883124,0.7494736842105263,simple,0.0765736275655475,0.0787935772918985,0.0,0.0,0.0,,,,,,,,,,,,,,pending,True,2026-09-06T23:47:54.585573+00:00,,
2,20260906T085231_8534ce84585b,2026-09-06T08:52:38.256148+00:00,2026-09-07,2026-09-04,c5f9ffef26b6460a1ef8,0464a8f5fe0430d37f44,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,,,,,Ridge,20260906T085231_8534ce84585b:price:20,price,20,2026-10-07,1개월,20.0,1647000.0,있음,0.0440978892169427,1719629.2235403047,1719629.2235403047,1236767.1921386924,2202491.254941917,0.6801705756929638,simple,0.2006016362980392,0.199479058883374,-0.0059554390117573,0.0056008185120019,0.4396070742579389,,,,,,,,,,,,,,pending,True,2026-09-06T23:47:54.585573+00:00,,
2,20260906T091529_924201016c5e,2026-09-06T09:15:36.878966+00:00,2026-09-07,2026-09-04,9390b99fdc5f2551f2bd,0464a8f5fe0430d37f44,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,상승,0.2248209720894225,0.3605971998425439,0.4145818280680335,Logistic,20260906T091529_924201016c5e:direction:Logistic,direction,1,2026-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,True,2026-09-06T23:47:54.585573+00:00,,
2,20260906T091529_924201016c5e,2026-09-06T09:15:36.878966+00:00,2026-09-07,2026-09-04,9390b99fdc5f2551f2bd,0464a8f5fe0430d37f44,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,상승,0.1818649562043081,0.2821833816545758,0.5359516621411161,LightGBM,20260906T091529_924201016c5e:direction:LightGBM,direction,1,2026-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,True,2026-09-06T23:47:54.585573+00:00,,
2,20260906T091529_924201016c5e,2026-09-06T09:15:36.878966+00:00,2026-09-07,2026-09-04,9390b99fdc5f2551f2bd,0464a8f5fe0430d37f44,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,상승,0.2033429641468653,0.3213902907485598,0.4752667451045748,Mean ensemble,20260906T091529_924201016c5e:direction:Mean ensemble,direction,1,2026-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,True,2026-09-06T23:47:54.585573+00:00,,
2,20260906T091529_924201016c5e,2026-09-06T09:15:36.878966+00:00,2026-09-07,2026-09-04,9390b99fdc5f2551f2bd,0464a8f5fe0430d37f44,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,상승,0.2060356987056208,0.3135797146691276,0.4803845866252516,No macro ensemble,20260906T091529_924201016c5e:direction:No macro ensemble,direction,1,2026-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,True,2026-09-06T23:47:54.585573+00:00,,
2,20260906T091529_924201016c5e,2026-09-06T09:15:36.878966+00:00,2026-09-07,2026-09-04,9390b99fdc5f2551f2bd,0464a8f5fe0430d37f44,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,,,,,Ridge,20260906T091529_924201016c5e:price:1,price,1,2026-09-07,1거래일,1.0,1647000.0,있음,0.0135688933395786,1669347.9673302858,1669347.9673302858,1571375.816932435,1767320.1177281367,0.8050314465408805,simple,0.0308032097452011,0.0336644703129622,-0.0038927566027122,-0.0019121108593627,1.0,,,,,,,,,,,,,,pending,True,2026-09-06T23:47:54.585573+00:00,,
2,20260906T091529_924201016c5e,2026-09-06T09:15:36.878966+00:00,2026-09-07,2026-09-04,9390b99fdc5f2551f2bd,0464a8f5fe0430d37f44,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,,,,,Ridge,20260906T091529_924201016c5e:price:5,price,5,2026-09-11,1주일,5.0,1647000.0,없음,,,1647000.0,1424175.3790478285,1869824.620952172,0.7494736842105263,simple,0.0765736215172673,0.0787935772918985,0.0,0.0,0.0,,,,,,,,,,,,,,pending,True,2026-09-06T23:47:54.585573+00:00,,
2,20260906T091529_924201016c5e,2026-09-06T09:15:36.878966+00:00,2026-09-07,2026-09-04,9390b99fdc5f2551f2bd,0464a8f5fe0430d37f44,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,,,,,Ridge,20260906T091529_924201016c5e:price:20,price,20,2026-10-07,1개월,20.0,1647000.0,있음,0.0440981781857998,1719629.6994720125,1719629.6994720125,1236766.2356647945,2202493.1632792302,0.6801705756929638,simple,0.2006015617887108,0.199479058883374,-0.0059554166873475,0.0056007468007379,0.4396090500785045,,,,,,,,,,,,,,pending,True,2026-09-06T23:47:54.585573+00:00,,
2,20260906T092502_e105be07a4eb,2026-09-06T09:25:09.663139+00:00,2026-09-07,2026-09-04,66f4e7cdc79e41122e64,0464a8f5fe0430d37f44,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,상승,0.2248208919588578,0.3605971666927384,0.4145819413484037,Logistic,20260906T092502_e105be07a4eb:direction:Logistic,direction,1,2026-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,True,2026-09-06T23:47:54.585573+00:00,,
2,20260906T092502_e105be07a4eb,2026-09-06T09:25:09.663139+00:00,2026-09-07,2026-09-04,66f4e7cdc79e41122e64,0464a8f5fe0430d37f44,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,상승,0.1833449281912495,0.2966918882379725,0.519963183570778,LightGBM,20260906T092502_e105be07a4eb:direction:LightGBM,direction,1,2026-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,True,2026-09-06T23:47:54.585573+00:00,,
2,20260906T092502_e105be07a4eb,2026-09-06T09:25:09.663139+00:00,2026-09-07,2026-09-04,66f4e7cdc79e41122e64,0464a8f5fe0430d37f44,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,상승,0.2040829100750537,0.3286445274653554,0.4672725624595908,Mean ensemble,20260906T092502_e105be07a4eb:direction:Mean ensemble,direction,1,2026-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,True,2026-09-06T23:47:54.585573+00:00,,
2,20260906T092502_e105be07a4eb,2026-09-06T09:25:09.663139+00:00,2026-09-07,2026-09-04,66f4e7cdc79e41122e64,0464a8f5fe0430d37f44,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,상승,0.200823287582005,0.3107388385942559,0.488437873823739,No macro ensemble,20260906T092502_e105be07a4eb:direction:No macro ensemble,direction,1,2026-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,True,2026-09-06T23:47:54.585573+00:00,,
2,20260906T092502_e105be07a4eb,2026-09-06T09:25:09.663139+00:00,2026-09-07,2026-09-04,66f4e7cdc79e41122e64,0464a8f5fe0430d37f44,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,,,,,Ridge,20260906T092502_e105be07a4eb:price:1,price,1,2026-09-07,1거래일,1.0,1647000.0,있음,0.0135688734579168,1669347.9345851892,1669347.9345851892,1571376.1860252027,1767319.6831451757,0.8050314465408805,simple,0.0308032099266591,0.0336644703129622,-0.0038927563790669,-0.0019121115809614,1.0,,,,,,,,,,,,,,pending,True,2026-09-06T23:47:54.585573+00:00,,
2,20260906T092502_e105be07a4eb,2026-09-06T09:25:09.663139+00:00,2026-09-07,2026-09-04,66f4e7cdc79e41122e64,0464a8f5fe0430d37f44,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,,,,,Ridge,20260906T092502_e105be07a4eb:price:5,price,5,2026-09-11,1주일,5.0,1647000.0,없음,,,1647000.0,1424175.4214176824,1869824.5785823176,0.7494736842105263,simple,0.076573624907384,0.0787935772918985,0.0,0.0,0.0,,,,,,,,,,,,,,pending,True,2026-09-06T23:47:54.585573+00:00,,
2,20260906T092502_e105be07a4eb,2026-09-06T09:25:09.663139+00:00,2026-09-07,2026-09-04,66f4e7cdc79e41122e64,0464a8f5fe0430d37f44,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,,,,,Ridge,20260906T092502_e105be07a4eb:price:20,price,20,2026-10-07,1개월,20.0,1647000.0,있음,0.0440980162362206,1719629.4327410553,1719629.4327410553,1236766.228592225,2202492.636889886,0.6801705756929638,simple,0.2006015868296411,0.199479058883374,-0.0059554111675529,0.0056007581872288,0.4396079031101971,,,,,,,,,,,,,,pending,True,2026-09-06T23:47:54.585573+00:00,,
3,20260906T100114_f761a6516c44,2026-09-06T10:01:20.482858+00:00,2026-09-07,2026-09-04,c0148bdb3e58f6df8f41,0464a8f5fe0430d37f44,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,상승,0.2248209695636753,0.360597116560879,0.4145819138754456,Logistic,20260906T100114_f761a6516c44:direction:Logistic,direction,1,2026-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,True,2026-09-06T23:47:54.585573+00:00,github-actions,7fa00c14b86e
3,20260906T100114_f761a6516c44,2026-09-06T10:01:20.482858+00:00,2026-09-07,2026-09-04,c0148bdb3e58f6df8f41,0464a8f5fe0430d37f44,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,상승,0.1878223028109464,0.284057158467523,0.5281205387215306,LightGBM,20260906T100114_f761a6516c44:direction:LightGBM,direction,1,2026-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,True,2026-09-06T23:47:54.585573+00:00,github-actions,7fa00c14b86e
3,20260906T100114_f761a6516c44,2026-09-06T10:01:20.482858+00:00,2026-09-07,2026-09-04,c0148bdb3e58f6df8f41,0464a8f5fe0430d37f44,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,상승,0.2063216361873108,0.322327137514201,0.4713512262984881,Mean ensemble,20260906T100114_f761a6516c44:direction:Mean ensemble,direction,1,2026-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,True,2026-09-06T23:47:54.585573+00:00,github-actions,7fa00c14b86e
3,20260906T100114_f761a6516c44,2026-09-06T10:01:20.482858+00:00,2026-09-07,2026-09-04,c0148bdb3e58f6df8f41,0464a8f5fe0430d37f44,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,상승,0.208257885492489,0.3113256844982394,0.4804164300092716,No macro ensemble,20260906T100114_f761a6516c44:direction:No macro ensemble,direction,1,2026-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,True,2026-09-06T23:47:54.585573+00:00,github-actions,7fa00c14b86e
3,20260906T100114_f761a6516c44,2026-09-06T10:01:20.482858+00:00,2026-09-07,2026-09-04,c0148bdb3e58f6df8f41,0464a8f5fe0430d37f44,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,,,,,Ridge,20260906T100114_f761a6516c44:price:1,price,1,2026-09-07,1거래일,1.0,1647000.0,있음,0.0135688805585103,1669347.9462798666,1669347.9462798666,1571376.03324945,1767319.8593102826,0.8050314465408805,simple,0.030803210816673,0.0336644703129622,-0.0038927544930008,-0.0019121113216603,1.0,,,,,,,,,,,,,,pending,True,2026-09-06T23:47:54.585573+00:00,github-actions,7fa00c14b86e
3,20260906T100114_f761a6516c44,2026-09-06T10:01:20.482858+00:00,2026-09-07,2026-09-04,c0148bdb3e58f6df8f41,0464a8f5fe0430d37f44,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,,,,,Ridge,20260906T100114_f761a6516c44:price:5,price,5,2026-09-11,1주일,5.0,1647000.0,없음,,,1647000.0,1424174.995305191,1869825.004694809,0.7494736842105263,simple,0.0765736227950987,0.0787935772918985,0.0,0.0,0.0,,,,,,,,,,,,,,pending,True,2026-09-06T23:47:54.585573+00:00,github-actions,7fa00c14b86e
3,20260906T100114_f761a6516c44,2026-09-06T10:01:20.482858+00:00,2026-09-07,2026-09-04,c0148bdb3e58f6df8f41,0464a8f5fe0430d37f44,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,,,,,Ridge,20260906T100114_f761a6516c44:price:20,price,20,2026-10-07,1개월,20.0,1647000.0,있음,0.0440978574621232,1719629.1712401172,1719629.1712401172,1236766.4966820625,2202491.845798172,0.6801705756929638,simple,0.2006015782772277,0.199479058883374,-0.0059553911933109,0.0056007253756458,0.4396064664843137,,,,,,,,,,,,,,pending,True,2026-09-06T23:47:54.585573+00:00,github-actions,7fa00c14b86e
3,20260906T234747_8ecf765973f1,2026-09-06T23:47:54.568313+00:00,2026-09-07,2026-09-04,d15fe5eb92df79d15f75,cb6a70d1f50a0681a9bb,close_to_close,0.014295382894331575,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,상승,0.22984386997168535,0.35627633361751493,0.4138797964107998,Logistic,20260906T234747_8ecf765973f1:direction:Logistic,direction,1,2026-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,True,2026-09-06T23:47:54.585573+00:00,github-actions,7fa00c14b86e
3,20260906T234747_8ecf765973f1,2026-09-06T23:47:54.568313+00:00,2026-09-07,2026-09-04,d15fe5eb92df79d15f75,cb6a70d1f50a0681a9bb,close_to_close,0.014295382894331575,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,상승,0.15856580677699006,0.2688104292612815,0.5726237639617285,LightGBM,20260906T234747_8ecf765973f1:direction:LightGBM,direction,1,2026-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,True,2026-09-06T23:47:54.585573+00:00,github-actions,7fa00c14b86e
3,20260906T234747_8ecf765973f1,2026-09-06T23:47:54.568313+00:00,2026-09-07,2026-09-04,d15fe5eb92df79d15f75,cb6a70d1f50a0681a9bb,close_to_close,0.014295382894331575,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,상승,0.1942048383743377,0.3125433814393982,0.49325178018626414,Mean ensemble,20260906T234747_8ecf765973f1:direction:Mean ensemble,direction,1,2026-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,True,2026-09-06T23:47:54.585573+00:00,github-actions,7fa00c14b86e
3,20260906T234747_8ecf765973f1,2026-09-06T23:47:54.568313+00:00,2026-09-07,2026-09-04,d15fe5eb92df79d15f75,cb6a70d1f50a0681a9bb,close_to_close,0.014295382894331575,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,상승,0.18866373159619898,0.34176133740309095,0.46957493100071,No macro ensemble,20260906T234747_8ecf765973f1:direction:No macro ensemble,direction,1,2026-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,True,2026-09-06T23:47:54.585573+00:00,github-actions,7fa00c14b86e
3,20260906T234747_8ecf765973f1,2026-09-06T23:47:54.568313+00:00,2026-09-07,2026-09-04,d15fe5eb92df79d15f75,cb6a70d1f50a0681a9bb,close_to_close,0.014295382894331575,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,,,,,Ridge,20260906T234747_8ecf765973f1:price:1,price,1,2026-09-07,1거래일,1.0,1647000.0,있음,0.01288735565407351,1668225.4747622593,1668225.4747622593,1570180.8619951636,1766270.0875293547,0.8029350104821803,simple,0.030744677734364376,0.03366447031296229,-0.003922928534241402,-0.0019679892153234573,1.0,,,,,,,,,,,,,,pending,True,2026-09-06T23:47:54.585573+00:00,github-actions,7fa00c14b86e
3,20260906T234747_8ecf765973f1,2026-09-06T23:47:54.568313+00:00,2026-09-07,2026-09-04,d15fe5eb92df79d15f75,cb6a70d1f50a0681a9bb,close_to_close,0.014295382894331575,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,,,,,Ridge,20260906T234747_8ecf765973f1:price:5,price,5,2026-09-11,1주일,5.0,1647000.0,없음,,,1647000.0,1424175.239992926,1869824.760007074,0.7494736842105263,simple,0.07587871401455959,0.07879357729189856,0.0,0.0,0.0,,,,,,,,,,,,,,pending,True,2026-09-06T23:47:54.585573+00:00,github-actions,7fa00c14b86e
3,20260906T234747_8ecf765973f1,2026-09-06T23:47:54.568313+00:00,2026-09-07,2026-09-04,d15fe5eb92df79d15f75,cb6a70d1f50a0681a9bb,close_to_close,0.014295382894331575,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,,,,,Ridge,20260906T234747_8ecf765973f1:price:20,price,20,2026-10-07,1개월,20.0,1647000.0,있음,0.0340024573455885,1703002.0472481844,1703002.0472481844,1220377.52476492,2185626.569731449,0.6801705756929638,simple,0.19788427344502013,0.19947905888337406,-0.006035326478245715,0.003412338861501161,0.41765068234466457,,,,,,,,,,,,,,pending,True,2026-09-06T23:47:54.585573+00:00,github-actions,7fa00c14b86e
